52919980670;00239838;66;1326;A;
62355062870;00239839;66;1326;A;
27818060561;00239836;66;1326;A;
48721851026;00239837;66;1326;A;
94276554454;00239841;66;1326;A;
43243030102;00119978;22;8222;A;
43243030102;00119978;22;0001;C;
43243030102;00119978;22;8717;A;
43243030102;00119978;12;0107;A;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;26;0555;A;
43243030102;00119978;26;0555;A;
43243030102;00119978;66;0701;A;
43243030102;00119978;66;8159;A;
43243030102;00119978;66;8051;A;
43243030102;00119978;22;8222;A;
43243030102;00119978;22;8222;A;
43243030102;00119978;51;0301;A;
43243030102;00119978;57;1801;A;
43243030102;00119978;57;1801;A;
43243030102;00119978;57;1801;A;
43243030102;00119978;22;1800;C;
43243030102;00119978;22;1800;C;
43243030102;00119978;22;1800;C;
43243030102;00119978;35;0474;A;
43243030102;00119978;22;0003;C;
43243030102;00119978;22;0003;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;22;0555;C;
43243030102;00119978;26;0555;A;
43243030102;00119978;66;1326;A;
43243030102;00119978;66;8051;A;
43243030102;00119978;66;1288;A;
43243030102;00119978;66;1326;A;
43243030102;00119978;66;1293;A;
